Ghosts of Mars	2001	98.0	English Language	United States of America	Thriller|Science Fiction|Horror|Adventure|Supernatural|Action|Space western
Getting Away with Murder: The JonBenét Ramsey Mystery	2000	95.0	English Language	United States of America	Mystery|Biographical film|Drama|Crime Drama
Brun bitter	1988	83.0	Norwegian Language	Norway	Crime Fiction|Drama
White Of The Eye	1987	110.0	English Language	United Kingdom	Thriller|Erotic thriller|Psychological thriller
A Woman in Flames	1983	106.0	German Language	Germany	Drama
The Gangsters	1913	35.0	Silent film|English Language	United States of America	Short Film|Silent film|Indie|Black-and-white|Comedy
Alexander's Ragtime Band	1938	106.0	English Language	United States of America	Musical|Comedy|Black-and-white
Contigo y aquí	1974	-1.0	Spanish Language	Argentina	Musical|Drama|Comedy
City of the Dead	1960	76.0	English Language	United Kingdom	Horror|Supernatural
Sarah and Son	1930	86.0	English Language	United States of America	Drama|Black-and-white
Little city	1997	93.0	English Language	United States of America	Romantic comedy|Ensemble Film|Comedy-drama|Drama|Comedy|Romantic drama|Romance Film
Henry V	1989	137.0	English Language	United Kingdom	Costume drama|War film|Epic|Period piece|Drama|Film adaptation
Mary Poppins	1964	139.0	English Language	United States of America	Children's/Family|Musical|Fantasy|Comedy|Drama|Family Film|Children's Fantasy
Keep the Change	1992	97.0	English Language	United States of America	Drama
The Devil's Holiday	1930	-1.0	English Language	United States of America	Romance Film|Drama|Black-and-white
New Rose Hotel	1999	92.0	English Language	United States of America	Thriller|Science Fiction|Future noir|Indie|Erotic thriller|Fantasy|Film adaptation|Drama
White on Rice	2009	82.0	 	United States of America	Romantic comedy|Romance Film|Comedy|Indie
Freddy and the Song of the South Pacific	1962	97.0	German Language	Germany	Drama|Adventure
Ferdinando I, re di Napoli	1959	105.0	Italian Language	France|Italy	Comedy|Black-and-white
Anbu Thozhi	2007	-1.0	Tamil Language	India	Romance Film